case,group,label,model,kernel,n_train,n_test,RMSE_cm,MAE_cm,bias_cm,cover95
19,C2,2023-11-27 to 2024-01-04,GPM12,Matern 1/2,2376,36,9.143156586884965,7.956665395325745,6.820785631599459,97.22222222222221
19,C2,2023-11-27 to 2024-01-04,GP,Matern 3/2,2376,36,9.187508942863449,7.992326474171069,6.868247170371156,97.22222222222221
19,C2,2023-11-27 to 2024-01-04,GPM52,Matern 5/2,2376,36,9.197206736143052,7.999362516260132,6.881654987953286,97.22222222222221
19,C2,2023-11-27 to 2024-01-04,GPRQ,rational quadratic,2376,36,8.448779934322035,7.295325753102991,5.971990380302948,100.0
19,C2,2023-11-27 to 2024-01-04,GP2M32,two-scale M3/2,2376,36,8.922833664095684,7.782889147658831,6.695395863419179,100.0
19,C2,2023-11-27 to 2024-01-04,GP2M32SA,GP-2M-SA,2376,36,7.636420297296587,6.48639665501667,4.944738616778886,100.0
19,C2,2023-11-27 to 2024-01-04,GPQP,M3/2 + quasi-periodic,2376,36,7.636889113196037,6.379935518391562,4.927858650731087,100.0
20,C2,2024-11-27 to 2025-01-04,GPM12,Matern 1/2,2373,39,11.57076070526926,9.754780582064802,7.927149790910286,87.17948717948718
20,C2,2024-11-27 to 2025-01-04,GP,Matern 3/2,2373,39,11.580008076510483,9.755006961883437,7.773472231159821,84.61538461538461
20,C2,2024-11-27 to 2025-01-04,GPM52,Matern 5/2,2373,39,11.604893806461824,9.772906433115777,7.724306882727651,84.61538461538461
20,C2,2024-11-27 to 2025-01-04,GPRQ,rational quadratic,2373,39,11.744800013907321,9.921487246514912,8.10205418549628,89.74358974358975
20,C2,2024-11-27 to 2025-01-04,GP2M32,two-scale M3/2,2373,39,11.979369102243705,10.124157706237344,8.437117281155768,87.17948717948718
20,C2,2024-11-27 to 2025-01-04,GP2M32SA,GP-2M-SA,2373,39,10.583620891856912,8.810257301015184,6.429013087248759,89.74358974358975
20,C2,2024-11-27 to 2025-01-04,GPQP,M3/2 + quasi-periodic,2373,39,10.293230044096882,8.563892856062125,5.750630947085167,89.74358974358975
21,C2,2025-11-27 to 2026-01-04,GPM12,Matern 1/2,2374,38,8.463483498501981,6.825337019712256,0.2194828275457548,97.36842105263158
21,C2,2025-11-27 to 2026-01-04,GP,Matern 3/2,2374,38,8.469706008659161,6.925627313556765,0.15326725029962215,97.36842105263158
21,C2,2025-11-27 to 2026-01-04,GPM52,Matern 5/2,2374,38,8.475442575884573,6.970785997850109,0.15646538547286218,97.36842105263158
21,C2,2025-11-27 to 2026-01-04,GPRQ,rational quadratic,2374,38,8.517318396565281,6.790642874250459,1.1525375938208242,97.36842105263158
21,C2,2025-11-27 to 2026-01-04,GP2M32,two-scale M3/2,2374,38,8.465734503392097,6.7750157520110665,0.7973371874724577,97.36842105263158
21,C2,2025-11-27 to 2026-01-04,GP2M32SA,GP-2M-SA,2374,38,8.561182698620955,6.873882065152627,-1.3929991082944775,97.36842105263158
21,C2,2025-11-27 to 2026-01-04,GPQP,M3/2 + quasi-periodic,2374,38,8.861213252714176,7.094409385238711,-2.4869842365816264,97.36842105263158
22,D,10% scattered 1-10 d gaps,GPM12,Matern 1/2,2169,243,9.506885235325935,7.32596419982937,-0.4856460156773342,92.18106995884774
22,D,10% scattered 1-10 d gaps,GP,Matern 3/2,2169,243,9.609693791925036,7.423453935920256,-0.48635765782610596,92.5925925925926
22,D,10% scattered 1-10 d gaps,GPM52,Matern 5/2,2169,243,9.667345501389851,7.48346842173618,-0.4878138225708166,92.18106995884774
22,D,10% scattered 1-10 d gaps,GPRQ,rational quadratic,2169,243,9.366787386659816,7.2089227192383785,-0.574234986878921,90.94650205761316
22,D,10% scattered 1-10 d gaps,GP2M32,two-scale M3/2,2169,243,9.41178921978853,7.272328255520177,-0.5071526452009685,90.94650205761316
22,D,10% scattered 1-10 d gaps,GP2M32SA,GP-2M-SA,2169,243,9.443694879277617,7.330003170316476,-0.3828363025540521,91.76954732510289
22,D,10% scattered 1-10 d gaps,GPQP,M3/2 + quasi-periodic,2169,243,9.623896877396284,7.429637530876823,-0.4814063592786469,91.76954732510289
23,D,20% scattered 1-10 d gaps,GPM12,Matern 1/2,1929,483,9.090465863389056,6.8207361503958674,-0.33878075238357974,94.40993788819875
23,D,20% scattered 1-10 d gaps,GP,Matern 3/2,1929,483,9.290479040987831,6.983288975096825,-0.2747600239345715,94.20289855072464
23,D,20% scattered 1-10 d gaps,GPM52,Matern 5/2,1929,483,9.36935566600823,7.052972530763787,-0.25092141345852526,93.7888198757764
23,D,20% scattered 1-10 d gaps,GPRQ,rational quadratic,1929,483,8.864467841612559,6.745973499288891,-0.45276317425991636,93.99585921325053
23,D,20% scattered 1-10 d gaps,GP2M32,two-scale M3/2,1929,483,8.813761895108057,6.714141806957738,-0.4447563754088326,94.40993788819875
23,D,20% scattered 1-10 d gaps,GP2M32SA,GP-2M-SA,1929,483,8.689647331271935,6.617383959890143,-0.38764719332646125,95.23809523809523
23,D,20% scattered 1-10 d gaps,GPQP,M3/2 + quasi-periodic,1929,483,9.208852675888405,6.954233462633508,-0.5701307687621121,94.20289855072464
24,D,30% scattered 1-10 d gaps,GPM12,Matern 1/2,1682,730,8.793428158256981,6.723677438648935,-0.38067283128337337,95.61643835616438
24,D,30% scattered 1-10 d gaps,GP,Matern 3/2,1682,730,8.859200029126143,6.7725998881313325,-0.37352884754456717,95.61643835616438
24,D,30% scattered 1-10 d gaps,GPM52,Matern 5/2,1682,730,8.895117465256446,6.805319929044072,-0.3732579148327973,95.47945205479452
24,D,30% scattered 1-10 d gaps,GPRQ,rational quadratic,1682,730,8.582734398237546,6.5771375055826145,-0.34092751816464995,95.47945205479452
